DATE,CLOSE
11/09/2013,24.3
12/09/2013,24.3
13/09/2013,24.5
16/09/2013,25.2
17/09/2013,25.8
18/09/2013,25.2
19/09/2013,25.2
20/09/2013,25.5
23/09/2013,25.3
24/09/2013,25.5
25/09/2013,25.6
26/09/2013,25.6
27/09/2013,25.8
30/09/2013,26.9
01/10/2013,27.7
02/10/2013,27.9
03/10/2013,27.7
04/10/2013,28.1
07/10/2013,28.4
08/10/2013,29
09/10/2013,28.6
10/10/2013,28.4
11/10/2013,28.8
14/10/2013,28.8
15/10/2013,28.9
16/10/2013,29.8
17/10/2013,29.5
18/10/2013,29.7
21/10/2013,29.6
22/10/2013,29.4
23/10/2013,30.1
24/10/2013,29.9
25/10/2013,30
28/10/2013,29.5
29/10/2013,29.6
30/10/2013,29.4
31/10/2013,29.5
01/11/2013,29.4
04/11/2013,28.9
05/11/2013,29.4
06/11/2013,29.7
07/11/2013,29.8
08/11/2013,29.8
11/11/2013,30
12/11/2013,29.7
13/11/2013,29.5
14/11/2013,29.6
15/11/2013,29.7
18/11/2013,29.8
19/11/2013,29.1
20/11/2013,29.3
21/11/2013,28.9
22/11/2013,28.9
25/11/2013,28.9
26/11/2013,28.6
27/11/2013,28.3
28/11/2013,28.3
29/11/2013,28.5
02/12/2013,28.4
03/12/2013,28.4
04/12/2013,28.1
05/12/2013,27.5
06/12/2013,27.9
09/12/2013,28
10/12/2013,27.8
11/12/2013,27.3
12/12/2013,27
13/12/2013,26.7
16/12/2013,26.5
17/12/2013,26.8
18/12/2013,26.9
19/12/2013,27.2
20/12/2013,26.8
23/12/2013,27.1
24/12/2013,26.9
25/12/2013,26.8
26/12/2013,27
27/12/2013,26.8
30/12/2013,26.4
31/12/2013,26.8
02/01/2014,26.7
03/01/2014,27.2
06/01/2014,27.1
07/01/2014,27.7
08/01/2014,28.1
09/01/2014,28.3
10/01/2014,27.8
13/01/2014,27.5
14/01/2014,27.7
15/01/2014,27.7
16/01/2014,27.7
17/01/2014,28.4
20/01/2014,29.2
21/01/2014,29.6
22/01/2014,29.2
23/01/2014,29.3
24/01/2014,28.9
27/01/2014,28.5
06/02/2014,27.9
07/02/2014,27.8
10/02/2014,28.3
11/02/2014,28.3
12/02/2014,29
13/02/2014,28.9
14/02/2014,29
17/02/2014,28.8
18/02/2014,29
19/02/2014,29.1
20/02/2014,29.1
21/02/2014,29
24/02/2014,29.1
25/02/2014,29.4
26/02/2014,30.3
27/02/2014,30.5
28/02/2014,30.6
03/03/2014,29.8
04/03/2014,29.8
05/03/2014,30
06/03/2014,30
07/03/2014,29.9
10/03/2014,30.8
11/03/2014,31.1
12/03/2014,30.6
13/03/2014,31.2
14/03/2014,31.3
17/03/2014,30.8
18/03/2014,30.5
19/03/2014,30.9
20/03/2014,30.7
21/03/2014,31.1
24/03/2014,31.8
25/03/2014,31.7
26/03/2014,30.4
27/03/2014,30.4
28/03/2014,30.8
31/03/2014,30.8
01/04/2014,31.1
02/04/2014,31.2
03/04/2014,31.3
04/04/2014,31.3
07/04/2014,31.4
08/04/2014,31.5
10/04/2014,31.2
11/04/2014,31
14/04/2014,30.7
15/04/2014,29.9
16/04/2014,29.4
17/04/2014,29.4
18/04/2014,28.9
21/04/2014,28.5
22/04/2014,29
23/04/2014,29
24/04/2014,29
25/04/2014,29
28/04/2014,28.5
29/04/2014,28.8
05/05/2014,27.1
06/05/2014,26.5
07/05/2014,26.7
08/05/2014,24.9
09/05/2014,25.4
12/05/2014,23.8
13/05/2014,24.3
14/05/2014,26
15/05/2014,25.9
16/05/2014,27
19/05/2014,27.2
20/05/2014,27.3
21/05/2014,27.2
22/05/2014,27
23/05/2014,26.3
26/05/2014,27.2
27/05/2014,28.5
28/05/2014,28.9
29/05/2014,28.6
30/05/2014,29
02/06/2014,29
